dataset,method,memory_kb,are_all,wmre_all,max_re_all,are_hh,wmre_hh,are_top20,wmre_top20
CAIDA,CountLess,16,396.02575674216,56.36260570281505,3198.0,0.015558770463679492,0.012464709001533457,0.007553778571997851,0.006540452156051945
CAIDA,CountLess,32,172.17694770474552,24.248083519054166,1996.0,0.0055099201874159644,0.004650529544119123,0.003334691578528322,0.0031080661072147675
CAIDA,CountLess,64,72.12981005162749,9.97555084009041,1996.0,0.0021912054088102017,0.0017591756596013013,0.0011895006573978655,0.0010270131484709667
CAIDA,CountLess,128,28.93073007313972,3.8778711650623547,1996.0,0.0006774641214100835,0.0005660891124582599,0.0004781292208593924,0.00039864326157754626
CAIDA,CountLess,256,10.968784952900855,1.39968783093872,333.0,0.00015826142758447475,0.00012898232942086933,0.00013533714438237899,9.45933163065364e-05
CAIDA,Elastic,16,343.5577212320128,48.885330820174815,908.0,0.4292309084894624,0.3855998394886567,0.3414028584979459,0.31246199375684114
CAIDA,Elastic,32,151.23592713090198,21.31262704095342,408.0,0.26077124041305283,0.22346905140662396,0.16149377271535809,0.15129525276685452
CAIDA,Elastic,64,62.95298162274742,8.742875432690028,321.0,0.1616508427050214,0.12885334709144847,0.07580241348704267,0.0669247712868745
CAIDA,Elastic,128,24.636018737931135,3.355719806534212,123.0,0.07583160740883642,0.05539432764377947,0.019790095134277354,0.017391656869501764
CAIDA,Elastic,256,8.746194050416271,1.1896186005342437,53.0,0.04292160905362393,0.03164724766040386,0.017391858228384884,0.014641694031161742
CAIDA,Stable,16,0.9930788426100797,0.6958528932935022,1.0,0.1839343286404703,0.1963540994883701,0.23164743085202205,0.2253212794421697
CAIDA,Stable,32,0.9864875420847741,0.6055688589628084,1.0,0.08614039920142992,0.07632171059231552,0.10749334363365541,0.0762895096012216
CAIDA,Stable,64,0.9733814036962132,0.5031410529976132,1.0,0.04408195949752274,0.046172091090187314,0.10508922745854062,0.07485709652572263
CAIDA,Stable,128,0.9472808728463024,0.4098839047212607,1.0,0.027672821234935193,0.02387247947031257,0.036117293208326615,0.02419561897812192
CAIDA,Stable,256,0.8940231746828974,0.30432215847124094,1.0,0.005224458322394629,0.005306189718675208,0.00985131968696951,0.007520168646369643
CAIDA,Aegis,16,0.9866786895536034,0.6735936586213982,4.0,0.039695284851934465,0.02522321108674778,0.0013522198193184022,0.001533763057255983
CAIDA,Aegis,32,0.9865463448051247,0.5901022650038725,1.0,0.0017374154840230128,0.0013149031915960846,0.00023895613538298493,0.0002837799489196092
CAIDA,Aegis,64,0.9778948207827681,0.5085060141938135,1.0,0.0007804392536434032,0.0006234145922008685,0.00018207036795402,0.00022972662531587412
CAIDA,Aegis,128,0.957523401192474,0.43431883920527287,1.0,0.0003504624365297526,0.0003332043510039125,0.00022796948985941465,0.0002702666180186754
CAIDA,Aegis,256,0.9201777124918225,0.36574912671692983,1.0,0.00019749365088858557,0.00015047938432434757,3.947772947497482e-05,4.0539992702801315e-05
MAWI,CountLess,16,1819.8604925487198,429.6751358,54494.0,0.01144654434757609,0.003933237133672977,0.0028880955135397865,0.0011743065384329388
MAWI,CountLess,32,826.848738924248,195.1346618,28271.0,0.004808099474771334,0.0016529880414912004,0.0012794780039149995,0.0005252398710940996
MAWI,CountLess,64,383.8525908250353,90.5104516,9064.0,0.002152218777834588,0.0007416586059808401,0.0005753444948552135,0.00023851624620169968
MAWI,CountLess,128,179.93003435952616,42.363665,2543.0,0.0009589164214709502,0.00033390494356009724,0.00026948419330533133,0.0001115386408922083
MAWI,CountLess,256,84.56386481620109,19.8578355,2120.0,0.0004307953513663019,0.00015268109359532262,0.00012580917382081302,5.230343047487734e-05
MAWI,Elastic,16,1773.7479001154009,418.8392645,3959.0,0.21176996215023108,0.0930824591170321,0.06661528157256265,0.0394610478078561
MAWI,Elastic,32,814.0649899141953,192.1645054,1630.0,0.11832654102127166,0.054688374263494946,0.04464509675461851,0.025937775301942034
MAWI,Elastic,64,379.72834609333705,89.5771404,833.0,0.07263660068154025,0.037765691153784295,0.034333331162912734,0.02116146384068501
MAWI,Elastic,128,178.48859799104855,42.0434501,224.0,0.025073997135172908,0.010747933481785871,0.006052704179746281,0.0028495917181613896
MAWI,Elastic,256,84.34237810792645,19.8184394,106.0,0.009558036104977612,0.0035796240964292105,0.0025757273436205616,0.0011667445966775348
MAWI,Stable,16,0.9995009964346668,0.4351425,1.0,0.07844014011425009,0.023610975822473117,0.012427039041346993,0.004761187577746214
MAWI,Stable,32,0.9990150840778239,0.3965151,1.0,0.0170572161744819,0.005221059117485156,0.0022010670578079612,0.0008711987064038304
MAWI,Stable,64,0.9980250095719205,0.3787741,1.0,0.018433498918838782,0.007534155032473048,0.0028338476496170308,0.0011336611014976425
MAWI,Stable,128,0.9959450891370708,0.3550737,1.0,0.0029266725622795688,0.0012049120724532951,0.0011085613243698822,0.00047073087427389605
MAWI,Stable,256,0.9915672471578626,0.3315916,1.0,0.0021888233216416485,0.000528494052459774,6.722722956528578e-05,2.615171523743867e-05
MAWI,Aegis,16,0.9980394706699954,0.4066777,3.0,0.0250879607021364,0.005632210727092739,0.0003465131020137599,0.00012603236259006587
MAWI,Aegis,32,0.9983980552357724,0.3779477,2.0,0.012343875155057962,0.002728325061219682,4.916330134682786e-05,2.3946148892112517e-05
MAWI,Aegis,64,0.9982269234367803,0.3591286,1.0,0.0001267641744968712,4.8703909678033175e-05,4.0182575629888376e-05,1.60691262302334e-05
MAWI,Aegis,128,0.9965528991229319,0.3448969,1.0,8.920872110248848e-05,3.397947186839524e-05,2.7112132648724982e-05,1.1342912633105929e-05
MAWI,Aegis,256,0.9931358100277744,0.329217,1.0,6.36600077382935e-05,2.6050928432436352e-05,1.947009917401343e-05,6.616699035978458e-06
MAWI26,CountLess,16,2091.51902280902,804.5117405,32880.0,0.014292730300550645,0.009474618121607851,0.0038407673627655044,0.0036138892179370745
MAWI26,CountLess,32,964.3856169658666,370.863641,14661.0,0.006430213875227121,0.004293701297074825,0.0017722221273095689,0.0016678042332519175
MAWI26,CountLess,64,451.6888807436511,173.621941625,9297.0,0.002999868488428603,0.0020033757254491994,0.0008341233770231419,0.0007840748199166286
MAWI26,CountLess,128,214.28101415674354,82.2999385,2927.0,0.001404104380519697,0.0009395080721672272,0.0003962814615417115,0.0003732346564830954
MAWI26,CountLess,256,101.69518591041587,39.004171875,1714.0,0.0006583973920740056,0.0004398725819641695,0.0001866013884706389,0.00017580574499329683
MAWI26,Elastic,16,2153.9650313949364,828.6089065,4236.0,0.280939094770527,0.19501471881331958,0.09299350763264873,0.07862841434499668
MAWI26,Elastic,32,1015.1665171260098,390.452338875,1549.0,0.13714219308976988,0.0955727549690002,0.05185249981863793,0.04291352425649212
MAWI26,Elastic,64,484.71666632381385,186.36499025,841.0,0.06245536930055626,0.041233330652791125,0.022143042672083554,0.017502543072407523
MAWI26,Elastic,128,232.50829520570542,89.337569125,263.0,0.039167642724511995,0.027452267672792803,0.011714829935998561,0.00906762786342432
MAWI26,Elastic,256,111.33231464345867,42.729373125,149.0,0.0202243342239616,0.013216391383770591,0.004029245693291271,0.003604487841199465
MAWI26,Stable,16,0.9996091608057358,0.604620125,1.0,0.08277044247027397,0.08039824947410838,0.10037601845885898,0.07868858315611738
MAWI26,Stable,32,0.999242487216539,0.561727125,1.0,0.04236379072959245,0.045810466330851854,0.05329141598637451,0.04129836773297082
MAWI26,Stable,64,0.9984704546691057,0.528794875,1.0,0.023913580950721144,0.0316163361909671,0.050343992232825686,0.03768729892805502
MAWI26,Stable,128,0.9968923952666556,0.493357625,1.0,0.003931395113759689,0.0030597730152013107,0.0012268774453437193,0.0009241553333070095
MAWI26,Stable,256,0.9935973453682392,0.4638895,1.0,0.0015273374229211748,0.0009663134942449638,3.676356550037107e-05,3.008440556035026e-05
MAWI26,Aegis,16,0.9987814906424073,0.566947125,4.0,0.012642221597755323,0.013173766368335503,0.00021898048773103876,0.00017392546964577492
MAWI26,Aegis,32,0.9986479423475269,0.529376875,1.0,0.0020165495081833026,0.001655344671587439,2.1111623362187757e-05,1.880275347521891e-05
MAWI26,Aegis,64,0.998641587092374,0.505689875,1.0,0.0002973317463375127,0.0002271869379375381,1.0780608851010241e-05,1.1281652085131347e-05
MAWI26,Aegis,128,0.997425962879506,0.490503625,1.0,0.00014617467868083394,8.129513253084052e-05,1.3304191779281403e-05,1.4102065106414183e-05
MAWI26,Aegis,256,0.9949366526367652,0.473982875,1.0,5.9795324328201515e-05,4.0867282839827934e-05,1.2743314117916899e-05,1.3161927432653237e-05
UNI,CountLess,16,42.55588866056196,4.994553546279083,902.0,0.019667666045681514,0.012498579106118964,0.002148441951600904,0.0016578378891313934
UNI,CountLess,32,16.486035770401955,1.86094642555349,751.0,0.006863992564363889,0.00443847595583201,0.0007384174595129479,0.0005247029009372087
UNI,CountLess,64,5.906128277447608,0.6251918201791449,250.0,0.002608124514989055,0.0016099058112577092,0.00030725402691619987,0.000178622264148837
UNI,CountLess,128,1.8287745451266029,0.17525435186750044,187.0,0.0007370416904592753,0.0004573295654311719,3.8712331281580664e-05,2.2327783018604625e-05
UNI,CountLess,256,0.4349212246492223,0.03694214410455749,44.0,0.00013600483576792972,7.93057049880645e-05,0.0,0.0
UNI,Elastic,16,29.688271483883486,3.5058881189792124,286.0,0.2657900589526732,0.18301113187745682,0.10360051098057091,0.0912648130885464
UNI,Elastic,32,11.025621488616725,1.2962649991549773,125.0,0.14667729183857964,0.0857083189041009,0.03894015246601865,0.026274218667142992
UNI,Elastic,64,3.555955344074685,0.4464931553151935,67.0,0.07330461811685524,0.04036924736242443,0.015913138569604256,0.010644770554119755
UNI,Elastic,128,1.0021705736966418,0.18618894710157174,27.0,0.05021124795031539,0.02681854590346381,0.008673111317257747,0.008841802075367432
UNI,Elastic,256,0.37671335901348035,0.1199526787223255,9.0,0.02756734121750561,0.01658546643650389,0.014694436915903311,0.009399996650832547
UNI,Stable,16,0.9614068665455635,0.47615458284040335,1.0,0.19606123489134442,0.13386009944935406,0.004141815012743985,0.0029863409787383687
UNI,Stable,32,0.9223401515543471,0.37606219367922933,1.0,0.06995255666103148,0.04124689716429234,0.005378169764815632,0.0035836091744860426
UNI,Stable,64,0.8373531119520098,0.3018151090079432,1.0,0.04817300157279638,0.036335230502031544,0.007132461664353093,0.004041328726367437
UNI,Stable,128,0.6505731192365896,0.201930032110867,1.0,0.01822070743451043,0.011369794571788846,0.0011919590821936506,0.0008819474292348827
UNI,Stable,256,0.2796990450293304,0.07234296659343135,1.0,0.004555395392328645,0.003145792964526558,0.0022510534486582393,0.0011331349881941847
UNI,Aegis,16,0.9445287936518951,0.35487014816066703,8.0,0.0018546406068777196,0.0010679834938392685,0.00029907776318502345,0.0002456056132046509
UNI,Aegis,32,0.9247484191365023,0.26988676694270747,3.0,0.001061942608725388,0.00048112127692759125,8.136870133919483e-05,5.5819457546511565e-05
UNI,Aegis,64,0.8554464629563345,0.1984564249901414,2.0,0.00034028721303757525,0.00022469949746618272,7.72213887977217e-05,5.0237511791860404e-05
UNI,Aegis,128,0.7108677171712503,0.13269224269055266,3.0,0.00017094163920867902,0.00012688912798090318,7.72213887977217e-05,5.0237511791860404e-05
UNI,Aegis,256,0.44572066002605987,0.06248324038082362,1.0,9.651745821530424e-05,6.0801040490849446e-05,4.3954589063856104e-05,3.349167452790694e-05
